Company Name,Company Website URL,News Story URL,Headline,Publication Date,Publisher or Source,GPT Summary
1 Source Design Ltd.,http://1-sourcedesign.com/,https://www.ctemag.com/news/cad-solution-multi-user-facility,CAD solution for multi-user facility,10/1/2019,Cutting Tool Engineering,"• Adopted Kisters 3DViewStation to enable collaborative design reviews without many CAD seats 
• “We chose 3DViewStation as our go-to alternative to multiple, expensive CAD licenses,” — Douglas Davis, Sales Engineer 
• No photo caption appears"
Harris Precision Mold,http://www.hpmold.com,https://www.hpmold.com/,Company Profile: Harris Precision Mold,1/1/2023,Official Website,"• Specializes in Class 101 plastic injection molds including 2-shot, unscrewing, and shuttle designs 
• Serves medical, pharmaceutical, and packaging industries 
• Operates in Tempe, AZ and West Jordan, UT 
• Provides engineering and repair services with SolidWorks, SurfCam, Esprit software 
• No direct quotes appear in this profile."
Harris Precision Mold,http://www.hpmold.com,https://www.dnb.com/business-directory/company-profiles.harris-precision_mold__manufacturing_inc.d8e4402c1728556ecea803b51969956b.html,Business Directory Listing for Harris Precision Mold,6/1/2023,Dun & Bradstreet,"• Confirms Harris Precision Mold as a precision molding firm 
• Provides address and business classification in Tempe, Arizona 
• No direct quotes appear in this listing."
M.R. Mold & Engineering,http://www.mrmold.com,https://www.rubbernews.com/expansion/mr-mold-moving-larger-site-california,MR Mold moving to larger site in California,11/14/2019,Rubber News,"• Reports move to larger Brea, CA facility as prior complex slated for demolition 
• Expansion addresses space needs for growing LSR tooling projects 
• No direct quotes appear in this article"
M.R. Mold & Engineering,http://www.mrmold.com,https://www.rubbernews.com/coronavirus/mr-mold-stays-open-amidst-shelter-place-order,M.R. Mold stays open amidst shelter-in-place order,3/20/2020,Rubber News,"• Confirms essential manufacturer status during early COVID-19 response 
• Outlines safety measures and continuity plans for medical tooling customers 
• No direct quotes appear in this article"
"Prestige Mold, Inc.",http://www.prestigemold.com,https://www.moldmakingtechnology.com/articles/collaboration-creates-first-of-its-kind-multi-cavity-hot-runner-mold-for-intricate-medical-parts,Collaboration creates first-of-its-kind multi-cavity hot runner mold for intricate medical parts,4/28/2015,MoldMaking Technology,"• Case study with Eastman Chemical, Mold-Masters and Pres‑Tek on intricate medical tooling 
• Design-phase collaboration and rheology work emphasized 
• No direct quotes appear in this article"
"Prestige Mold, Inc.",http://www.prestigemold.com,https://www.plasticsnews.com/article/20120309/NEWS/303099974/prestige-mold-spins-off-molding-business,Prestige Mold spins off molding business,3/9/2012,Plastics News,"• Reports creation of Pres‑Tek Plastics as separate entity from Prestige Mold 
• Strategic focus to separate molding from tooling operations 
• No direct quotes appear in this article"
Source One Plastics,http://www.source-one.net,https://www.ptonline.com/news/source-one-plastics-starts-up-plastic-waste-sorting-and-recycling-facility,Source One Plastics Starts Up Plastic Waste Sorting and Recycling Facility,3/7/2024,Plastics Technology,"• Source One Plastics opened new facility for plastic waste sorting and pretreatment 
• Supplies feedstock for advanced recycling 
• Focused on sustainable plastics circular economy 
• No direct quotes appear in this article."
Source One Plastics,http://www.source-one.net,https://www.plasticstoday.com/advanced-recycling/lyondellbasel-jv-launches-advanced-recycling-facility-in-germany,Joint Venture Launches Advanced Recycling Facility in Germany,2/26/2024,Plastics Today,"• New plant in Eicklingen, Germany processes 70,000 metric tons of plastic annually 
• Uses energy-efficient dry-processing sorting system 
• Quote: 'This marks another important milestone…' — Yvonne van der Laan, LyondellBasell EVP 
• Quote: 'With the Source One Plastics plant… inaugurating another ecologically attractive solution' — Kai Hoyer"
Source One Plastics,http://www.source-one.net,https://www.recyclingtoday.com/tag/mixed-plastics/,Freepoint Eco-Systems and Source One Announce Pretreatment Collaboration,12/15/2023,Recycling Today,"• Collaboration to develop pretreatment infrastructure across Europe 
• Aims to enhance sorting and recycling of mixed plastics 
• Strengthens supply chain for circular plastics 
• No direct quotes appear in this article."
Westec Plastics Corporation,http://www.westecplastics.com,https://www.tctmagazine.com/additive-manufacturing-3d-printing-industry-insights/latest-additive-manufacturing-3d-printing-industry-insights/making-time-how-westec-plastics-is-reducing-toolmaking-lead-times-with-mantles-trueshape-technology/,Making Time: How Westec Plastics is reducing toolmaking lead times with Mantle’s TrueShape,12/12/2023,TCT Magazine,"• Adopted Mantle TrueShape metal AM to reduce toolmaking lead times and EDM 
• “We’re able to print the most complicated part of the job,” — Tammy Barras, President 
• “With 3D printing, so many more fine features can be ‘roughed’ in …,” — Travis Meeks, VP of Tooling"
Westec Plastics Corporation,http://www.westecplastics.com,https://www.plasticstoday.com/medical/westec-plastics-first-medical-molder-to-acquire-game-changing-metal-printer,Westec Plastics first medical molder to acquire game‑changing metal printer,8/3/2023,PlasticsToday,"• Reports first production Mantle P‑200 metal AM deployment at Westec 
• Accelerates prototype and production steel tooling for medical customers 
• No direct quotes appear in this article"
Westec Plastics Corporation,http://www.westecplastics.com,https://www.moldmakingtechnology.com/news/westec-plastics-3d-prints-mold-inserts-using-trueshape-technology,Westec Plastics 3D prints mold inserts using TrueShape technology,3/10/2023,MoldMaking Technology,"• Notes production of H13 inserts via Mantle for qualification and production 
• Benefits include speed, complexity handling, reduced EDM 
• No direct quotes appear in this article"
PTA Plastics (PTA Corp.),http://www.ptaplastics.com,https://www.plasticsnews.com/news/pta-plastics-adds-equipment-medical-molding-reshoring,"PTA Plastics adds equipment for medical molding, reshoring",1/8/2021,Plastics News,"• Invested $2M in smart presses across Oxford CT and Longmont CO 
• Supports reshoring‑driven demand in medical markets 
• No direct quotes appear in this article"
PTA Plastics (PTA Corp.),http://www.ptaplastics.com,https://www.plasticstoday.com/medical/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand,PTA Plastics makes $2 million capital investment to meet medical molding demand,1/7/2021,PlasticsToday,"• Added four Wittmann Battenfeld and two Engel presses at two plants 
• Expansion aimed at meeting pandemic‑era medical demand surge 
• No direct quotes appear in this article"
"Ivanhoe Tool & Die Company, Inc.",http://ivanhoetool.com/,https://www.plasticsnews.com/article/19950529/NEWS/305299961/ivanhoe-tool-die-buys-500-ton-press,Ivanhoe Tool & Die buys 500‑ton press,5/29/1995,Plastics News,"• Purchase of 500‑ton Engel press customized for closures 
• Focus on closure molding and in‑house testing capability 
• No direct quotes appear in this article"
"Ivanhoe Tool & Die Company, Inc.",http://ivanhoetool.com/,https://www.plasticsnews.com/article/19960513/NEWS/305139957/ivanhoe-remains-true-to-roots-in-mold-design,Ivanhoe remains true to roots in mold design,5/13/1996,Plastics News,"• Profile emphasizes commitment to mold design expertise and training 
• “They may be good on a computer … but we need craftsmen,” — founder (Plastics News) 
• No photo caption noted"
"Ivanhoe Tool & Die Company, Inc.",http://ivanhoetool.com/,https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand,Ivanhoe Tool & Die: Building a Brand,4/1/2006,MoldMaking Technology,"• Branding around unscrewing and high‑cavitation molds 
• Reviews decades of growth and specialization in closures/packaging 
• No direct quotes appear in this article"
"WEPCO Plastics, Inc.",https://wepcoplastics.com/,https://hartfordbusiness.com/article/wepco-plastics-inc/,Wepco Plastics Inc.,10/20/2017,Hartford Business Journal,"• Local profile highlights on‑time delivery improvements 
• Focus on prototype and short‑to‑medium run molding services 
• No direct quotes appear in this article"
